127.0.0.1, 2016-03-26 00:48:29, GET, /GRS/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000438
127.0.0.1, 2016-03-26 00:48:29, GET, /GRS/static/js/jquery.js, HTTP/1.1, 304, 0.000387
127.0.0.1, 2016-03-26 00:48:29, GET, /GRS/static/js/calendar.js, HTTP/1.1, 304, 0.000502
127.0.0.1, 2016-03-26 00:48:29, GET, /GRS/static/js/web2py.js, HTTP/1.1, 304, 0.000355
127.0.0.1, 2016-03-26 00:48:29, GET, /GRS/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000391
127.0.0.1, 2016-03-26 00:48:29, GET, /GRS/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000326
127.0.0.1, 2016-03-26 00:48:29, GET, /GRS/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000315
127.0.0.1, 2016-03-26 00:48:29, GET, /GRS/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000373
127.0.0.1, 2016-03-26 00:48:29, GET, /GRS/static/js/share.js, HTTP/1.1, 304, 0.000350
127.0.0.1, 2016-03-26 00:48:29, GET, /GRS/static/css/calendar.css, HTTP/1.1, 304, 0.000965
127.0.0.1, 2016-03-26 00:48:29, GET, /GRS/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000468
127.0.0.1, 2016-03-26 00:48:30, GET, /GRS/static/images/twitter.png, HTTP/1.1, 304, 0.000441
127.0.0.1, 2016-03-26 00:48:30, GET, /GRS/static/images/facebook.png, HTTP/1.1, 304, 0.000420
127.0.0.1, 2016-03-26 00:48:30, GET, /GRS/static/images/gplus-32.png, HTTP/1.1, 304, 0.002872
127.0.0.1, 2016-03-26 00:48:30, GET, /GRS/static/images/favicon.ico, HTTP/1.1, 200, 0.000429
127.0.0.1, 2016-03-26 00:48:33, GET, /GRS, HTTP/1.1, 500, 0.028894
127.0.0.1, 2016-03-26 00:48:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000311
